           Open      Close       High        Low      Volume         VWAP           Timestamp  Transactions  OTC  hour  minute  dayofweek  Close_lag_1  Volume_lag_1   VWAP_lag_1  Close_lag_2  Volume_lag_2   VWAP_lag_2  Close_lag_3  Volume_lag_3   VWAP_lag_3  Close_lag_4  Volume_lag_4   VWAP_lag_4  Close_lag_5  Volume_lag_5   VWAP_lag_5
697   111244.80  111252.26  111307.82  111160.00   14.687693  111271.6591 2025-05-22 11:37:00           780  NaN    11      37          3    111242.41     20.870000  111249.7022    111265.42     11.821443  111256.7460    111250.07     12.184761  111179.2425    111167.16      5.581180  111095.5306    111092.46     15.534825  111116.2416
698   111252.27  111368.25  111368.25  111130.00   11.792176  111269.1592 2025-05-22 11:38:00           736  NaN    11      38          3    111252.26     14.687693  111271.6591    111242.41     20.870000  111249.7022    111265.42     11.821443  111256.7460    111250.07     12.184761  111179.2425    111167.16      5.581180  111095.5306
699   111361.16  111389.65  111406.26  111230.00   21.362603  111377.0601 2025-05-22 11:39:00           946  NaN    11      39          3    111368.25     11.792176  111269.1592    111252.26     14.687693  111271.6591    111242.41     20.870000  111249.7022    111265.42     11.821443  111256.7460    111250.07     12.184761  111179.2425
700   111389.66  111396.99  111419.04  111230.00   25.209524  111357.7862 2025-05-22 11:40:00           961  NaN    11      40          3    111389.65     21.362603  111377.0601    111368.25     11.792176  111269.1592    111252.26     14.687693  111271.6591    111242.41     20.870000  111249.7022    111265.42     11.821443  111256.7460
701   111392.35  111382.01  111423.63  111250.00   15.297592  111378.0442 2025-05-22 11:41:00           746  NaN    11      41          3    111396.99     25.209524  111357.7862    111389.65     21.362603  111377.0601    111368.25     11.792176  111269.1592    111252.26     14.687693  111271.6591    111242.41     20.870000  111249.7022
702   111382.01  111422.07  111422.07  111260.00    5.696209  111374.0495 2025-05-22 11:42:00           435  NaN    11      42          3    111382.01     15.297592  111378.0442    111396.99     25.209524  111357.7862    111389.65     21.362603  111377.0601    111368.25     11.792176  111269.1592    111252.26     14.687693  111271.6591
703   111422.07  111448.02  111466.26  111290.00   11.313583  111444.0734 2025-05-22 11:43:00           523  NaN    11      43          3    111422.07      5.696209  111374.0495    111382.01     15.297592  111378.0442    111396.99     25.209524  111357.7862    111389.65     21.362603  111377.0601    111368.25     11.792176  111269.1592
704   111448.85  111538.73  111538.73  111330.00   13.785769  111490.2177 2025-05-22 11:44:00           639  NaN    11      44          3    111448.02     11.313583  111444.0734    111422.07      5.696209  111374.0495    111382.01     15.297592  111378.0442    111396.99     25.209524  111357.7862    111389.65     21.362603  111377.0601
705   111540.76  111494.94  111597.63  111400.00   38.888448  111545.8833 2025-05-22 11:45:00          1111  NaN    11      45          3    111538.73     13.785769  111490.2177    111448.02     11.313583  111444.0734    111422.07      5.696209  111374.0495    111382.01     15.297592  111378.0442    111396.99     25.209524  111357.7862
706   111496.73  111519.11  111557.97  111390.00   24.588497  111517.3988 2025-05-22 11:46:00           923  NaN    11      46          3    111494.94     38.888448  111545.8833    111538.73     13.785769  111490.2177    111448.02     11.313583  111444.0734    111422.07      5.696209  111374.0495    111382.01     15.297592  111378.0442
